District,within_school_10k_n,within_school_5k_n,total_pop,with_elec_access,mean_mlab_mean,weighted_mean_mlab_mean,mean_mlab_percentile90,weighted_mlab_percentile90,mean_mlab_mlab_percentile10,weighted_mlab_percentile10,mean_ookla_median_d_kbps,weighted_ookla_median_d_kbps,mean_ookla_mean_d_kbps,weighted_ookla_mean_d_kbps,mean_ookla_median_u_kbpss,weighted_ookla_median_u_kbps,mean_ookla_mean_u_kbps,weighted_ookla_mean_u_kbps,mean_rwi,weighted_mean_rwi,proportion_within_school_10k_n,proportion_within_school_5k_n,proportion_with_elec_access,prop_english_illiterate,prop_did_not_used_internet,prop_illiterate_internet,prop_illiterate_no_internet,prop_literate_nointernet,prop_literate_internet,prop_illit_eng_literate_local,prop_lit_local_usedict,prop_lit_local_not_usedict,proportion_used_internet_census,percentage_3_14_years_currently_enrolled,electric_census_use,proportion_owns_laptop,proportion_owns_smartphone
Ablekuma Central Municipal,221077.93133544922,221077.93133544922,221077.93133544922,221077.93133544922,2.3550407067123587,2.296734623333715,6.6163850946822444,6.464962863878819,0.05326044512214188,0.052640203131628004,19125.50740055504,19566.555180788513,23749.649590104822,23840.777946935115,13574.987511563368,13612.405289594173,17780.570278126233,17713.556185230744,1.0966207215541166,1.0936859145051636,1,1,1,0.161376724,0.127025579,0.081558859,0.079817865,0.047207714,0.791415562,0.02584706,0.360720504,0.014597563,0.873182347196768,95.39017303211958,98.54,0.0849464235549075,0.7890385670140329
Ablekuma North Municipal,222066.93391609192,222066.93391609192,222066.93391609192,222066.93391609192,2.237866609274278,2.383929850839518,6.524301977843244,7.042008404443061,0.053551873405191366,0.05575877869358784,23106.98168789809,22210.649101129948,29959.71069597259,29367.732640082795,15588.245222929936,14645.304168487704,19438.815227264135,18721.346649759005,1.267968949044586,1.2677859289168463,1,1,1,0.103761533,0.101632363,0.051100071,0.052661462,0.048970901,0.847267566,0.021646558,0.390915543,0.013697658,0.8977523137946232,97.71045651263438,98.49,0.10379021595416484,0.8110507684215016
Ablekuma West Municipal,211083.5075187683,211083.5075187683,211083.5075187683,211083.5075187683,0.7696132639414207,0.7696132639414207,2.4380049834085367,2.4380049834085367,0.03746672593259559,0.03746672593259559,28158.26347826087,27174.20228257027,28844.62399192441,27654.16831492946,20895.184347826085,18802.899994007883,21888.509748953547,19443.944815377792,1.1939660869565218,1.1911706236240984,1,1,1,0.105816969,0.112412004,0.046683957,0.059133012,0.053278992,0.840904039,0.017636162,0.391626528,0.013931086,0.8875484416992085,97.69013625753216,99.28,0.10557692022153262,0.7930184561017981
Abuakwa North Municipal,71626.11149060726,64271.18128812313,72302.09929215908,72302.09929215908,3.9195976638178536,3.9504910816286274,11.462407184685192,11.560301947429727,0.11101969246297361,0.11082552181092652,13241.243119266055,14027.302304579302,12748.322025993884,13573.064069348093,9363.02752293578,9932.963788069419,9064.711796636086,9631.623540029937,0.05922333333333333,0.0823405190697247,0.9906505093466197,0.8889255210753352,1,0.196570913,0.201834862,0.066024966,0.130545947,0.071288916,0.732140171,0.027823733,0.504887953,0.045269965,0.793576190762208,96.2645437844458,89.65,0.04651931046909724,0.7083458465973932
Abuakwa South Municipal,69066.2703602314,49503.27994787693,72639.16356396675,70672.23616337776,2.1127965120476806,2.0042125565365123,5.737033217891303,5.39295343274944,0.12237576060368544,0.12305823016961678,9939.534948371724,9311.53562953642,10242.888429970877,9641.042293168035,6842.687053216839,6645.999459242235,7373.023713705763,7188.133268618315,-0.14470863118877414,-0.10884758337803538,0.9508131285048591,0.6814957320410754,0.9729219431490714,0.257179652,0.251255634,0.075595621,0.181584031,0.069671603,0.673148744,0.035157759,0.484867997,0.042627173,0.7395350036086195,93.87361312108055,87.7,0.0401845551087741,0.6742189916486235
Abura Asebu Kwamankese,84471.8646736145,59887.86169242859,95824.43628120422,89210.05687713623,3.583585072486694,3.5774170209897846,9.452868734959141,9.54470575435849,0.062453942267160466,0.058549344518688394,17161.57075913777,18187.432327932365,17463.518509840676,18666.12004923978,16895.437675726334,16152.74750120554,17013.488050609183,16331.781894160078,0.06793570978910922,0.09541779118363046,0.881527384369111,0.6249748395772767,0.9309739805339675,0.343513589,0.351639115,0.081909031,0.261604558,0.090034557,0.566451854,0.035770991,0.414962174,0.06864668,0.6368678322993043,91.4387797169163,92.66,0.03711223914269599,0.562201541643166
Accra Metropolitan Area (AMA),383219.1721096039,383219.1721096039,383219.1721096039,380499.75112724304,2.455967400147569,2.620787977723063,6.498729680874284,6.959713999071952,0.05591617523470266,0.057522848913901616,16783.69361084221,15869.33027024706,22246.29034761876,21215.67687303896,13532.056631171346,13056.328806183896,17140.49695744208,16352.706318642711,1.0689015004840272,1.0296371625888179,1,1,0.992903744957773,0.196886665,0.16503852,0.07286951,0.124017155,0.041021364,0.76209197,0.012985466,0.330871257,0.010602812,0.8337438717213213,95.02195427934207,98.44,0.08541449809695592,0.7591636141151044
Achiase,71063.53122091293,50324.64166879654,92218.21822404861,87079.16704034805,5.051241316389662,5.051241316389662,14.020708456629198,14.020708456629198,0.13503031011806077,0.13503031011806077,20865.909861325115,20516.70259038068,20868.944640105656,20518.47226593913,19426.38944530046,21844.27291592983,19426.748018930222,21844.482011562286,-0.2543990101658641,-0.2247083959646516,0.7706018679330873,0.5457125786851617,0.9442729291167284,0.343394666,0.35538557,0.084763283,0.258631383,0.096754186,0.559851147,0.041761422,0.411618772,0.0723589,0.6440720152659088,93.2306370443108,87.47,0.027690201609557787,0.5839002737907575
Ada East,38603.75569343567,30339.65805053711,39692.65468406677,37461.56168174744,1.1782051481890332,1.1782051481890332,3.1283528182245983,3.1283528182245983,0.1409043068635713,0.1409043068635713,26183.323741007192,28991.341765257806,26330.68300359712,29228.50483838171,12298.627697841726,12813.766294516168,12768.458543165467,13145.14207536002,0.14646264478764479,0.16245515475918676,0.97256673812073835,0.7643645478496026,0.9437907839604659,0.345465762,0.395897594,0.057217767,0.288247995,0.107649599,0.546884639,0.010487353,0.350709439,0.062615669,0.6047773154569271,85.68519830028329,88.48,0.03729388195407613,0.5459701032516566
Ada West,14364.58982372284,11016.818444252014,46707.09342098236,40641.31022644043,1.1782051481890332,1.1782051481890332,3.1283528182245983,3.1283528182245983,0.1409043068635713,0.1409043068635713,24770.99097744361,23502.555689429442,24782.05022556391,23514.607561897847,18018.443609022557,18606.594044925114,17891.628571428573,18468.396706052426,-0.11434543859649123,-0.10641174795740657,0.3075462156090791,0.23587034939114618,0.8701314350719803,0.41991688,0.446131714,0.07592711,0.34398977,0.102141944,0.477941176,0.02269821,0.341432225,0.068254476,0.5519633800121216,79.56311272017247,82.8,0.03172349995215158,0.5039235701298287
Adaklu,12330.910614013672,10497.492204666138,14200.936612129211,11789.820001602173,3.198064155134585,3.246983654225184,8.678968305204194,8.813400128580904,0.05659650717202638,0.05455463429072182,28835.55648535565,24951.617232063712,28605.236262203627,24756.031526467872,19889.84937238494,19772.60884329974,20114.826220362622,19946.72200724001,-0.17013650075414782,-0.1727179253228863,0.8683167139469995,0.7392112570730079,0.8302142544268756,0.410611999,0.404883931,0.109737715,0.300874284,0.104009647,0.485378354,0.0807959,0.403376545,0.087428399,0.5977899885272628,83.28092714041865,75.43,0.024847533361511985,0.5433246784614456
Adansi Asokwa,17386.191816806793,10564.036605119705,74226.64498114586,41598.348796486855,5.795814867296522,5.782239642827336,18.08918034051785,18.027417887106346,0.07872587239960781,0.07911097283254441,24212.792473713336,24590.704936120426,24212.792473713336,24590.704936120426,20368.63558384062,21039.252204938144,20368.63558384062,21039.252204938144,-0.25181727090836337,-0.22794290391292277,0.23423114194670958,0.14232135384541564,0.5604234006137979,0.365296804,0.339856491,0.110893673,0.254403131,0.085453359,0.549249837,0.043052838,0.34915199,0.059197652,0.6570344805131377,92.33455967959763,82.13,0.021098557614039656,0.583596522645134
Adansi North,26754.90479207039,17823.87280702591,26784.22879242897,26188.084594011307,6.347924985035302,6.354578864576528,20.63757387800668,20.659676959135812,0.062132750287110496,0.062152426440265404,21541.596666666668,20867.887346426272,21271.96761904762,20509.76353781265,16849.900833333333,16426.740896314048,16835.286904761906,16379.934243298438,0.006350833333333331,0.01639516609515841,0.9989051766027749,0.6654614902357815,0.9777427155720021,0.24855615,0.234438503,0.082780749,0.165775401,0.068663102,0.682780749,0.032727273,0.514224599,0.047058824,0.7728809931506849,95.94149155335805,91.28,0.055779109589041094,0.6799657534246575
Adansi South,32457.60779464245,14944.634983420372,78228.49296462536,40897.587394952774,5.490873229301931,5.546696549596821,16.6986768543247,16.941816900184506,0.08809150924985798,0.08696961632740571,17523.447428571428,17167.27885353142,17523.447428571428,17167.27885353142,19380.711428571427,18605.72974655668,19380.711428571427,18605.72974655668,-0.31617373766686013,-0.297932141539054,0.4149077473513348,0.1910382575077636,0.5227965648455801,0.352740194,0.345633456,0.095257619,0.257482575,0.088150882,0.559108924,0.039223726,0.368593686,0.066420664,0.6509734220642335,90.35906358747232,71.86,0.02788685432425357,0.5870155279075214
Adentan Municipal,26754.302592515945,26754.302592515945,26754.302592515945,26754.302592515945,3.0723591429132737,2.542839201942447,8.707764117907733,7.1001881088926,0.06167832447330682,0.048443654357035695,28302.927033492822,29874.437585540043,30571.558050415435,31633.614280720514,24738.427033492822,26292.508114214477,26047.575195761197,27419.82810842674,1.056300797448166,1.094298790471006,1,1,1,0.10237166,0.09345113,0.056525282,0.045846378,0.047604752,0.850023588,0.021658018,0.426855942,0.013252134,0.9061673199150279,95.94017094017094,95.71,0.1585021307152108,0.8197461948461056
Afadzato South,71463.95739364624,70627.34519195557,71463.95739364624,67963.92700099945,3.4661023171937106,3.4661023171937106,9.415542872196747,9.415542872196747,0.04540874228404885,0.04540874228404885,12748.225656877898,12534.589562117704,12748.225656877898,12534.589562117704,4131.302936630603,3696.583847135882,4131.302936630603,3696.583847135882,-0.13330023183925813,-0.11705966435673563,1,0.98829322875191,0.951023837465822,0.312210694,0.287629689,0.116679968,0.195530726,0.092098962,0.595690343,0.088268156,0.526097366,0.066560255,0.707588367456726,92.26764365599692,83.68,0.02567956710230689,0.6339039903800513
Afigya Kwabre North,104974.8382704258,79950.89730465412,112009.25508475304,106989.98288440704,6.3776432692741025,6.3776432692741025,20.736293075352968,20.736293075352968,0.062220630073415745,0.062220630073415745,16636.03469241774,15097.708018153671,16636.03469241774,15097.708018153671,11624.99678111588,11660.398356477093,11624.99678111588,11660.398356477093,-0.18007647830233667,-0.1355598593161897,0.9371978966469818,0.7137883136903141,0.9551887726014416,0.310035842,0.271423917,0.112577387,0.197458456,0.073965461,0.615998697,0.033398501,0.441674813,0.057021831,0.7164205918860652,93.39855417514394,84.67,0.02552753642124518,0.6219703403671523
Afigya Kwabre South,117055.62138211727,104759.21377444267,117379.28617608547,117379.28617608547,6.3776432692741025,6.3776432692741025,20.736293075352968,20.736293075352968,0.062220630073415745,0.062220630073415745,16976.349184018007,14506.038625648644,16888.88972050272,14386.905755440848,11133.712436691052,10975.92245030145,11496.214293753517,11257.71129177662,0.5829425998874508,0.5950901064578606,0.9972425731616509,0.8924846724428797,1,0.192964773,0.16937963,0.089804969,0.103159804,0.066219826,0.740815401,0.032958726,0.565791463,0.048682155,0.829658589807701,97.41583999766931,94.36,0.045405181514650984,0.7238916417895369
Agona East,63514.62089586258,50380.76748371124,63970.85589456558,63142.230291843414,5.051241316389662,5.051241316389662,14.020708456629198,14.020708456629198,0.13503031011806077,0.13503031011806077,17540.405405405407,16297.98781617017,17548.427581427582,16304.111719263517,12161.463617463618,11676.689979403878,12165.10602910603,11679.470493800787,0.12550779625779626,0.19243853157993218,0.9928680804356448,0.7875581275127376,0.9870468263846919,0.297640014,0.314429964,0.070447341,0.227192673,0.08723729,0.615122696,0.0278267,0.359281437,0.048960902,0.6906033885568693,94.83074443141852,84.38,0.032969742511946835,0.6104098909227536
Agona West Municipal,101630.15938663483,86339.16457557678,105102.45318508148,102669.9987783432,5.051241316389662,5.051241316389662,14.020708456629198,14.020708456629198,0.13503031011806077,0.13503031011806077,12540.720172684458,11606.327868509701,12554.400968079539,11625.51892490819,9374.700156985871,8913.199511934323,9367.39638932496,8897.858008355268,0.15210338827838826,0.21778369356338792,0.9669627711511921,0.8214762068734661,0.9768563498469934,0.258432665,0.266463775,0.066954096,0.19147857,0.074985206,0.666582129,0.027643926,0.380843689,0.040324626,0.7418013428253315,96.04828086776526,89.95,0.0429839063396201,0.65437430412632
Agortime-Ziope,12743.27042388916,10977.84642791748,13086.524228096008,11904.54343509674,3.299513647759469,3.3722611677512804,8.936521432406028,9.140004030868061,0.050798531787983596,0.048025047073349904,9227.576923076924,9080.793236478028,9227.576923076924,9080.793236478028,6285.32967032967,5502.367916143913,6285.32967032967,5502.367916143913,-0.2783012820512821,-0.30463363612030303,0.9737704375719641,0.8388664733717973,0.9096795472657573,0.408186797,0.39809743399999997,0.102046699,0.306140098,0.091957336,0.499855866,0.0683194,0.465263765,0.082156241,0.5971684097066449,88.49525200876552,81.52,0.03143298278323186,0.5393713403443353
